"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2","section"
"Male","Male",66,200,10.5,"Sophomore",2.5,3.5,24,1,2,25,5,7,3,47,49,6,"few",60,"Life is Beautiful","Narcos","Daredevil","Stat100_L1"
"Female","Female",66,142,7.5,"Freshman",3,3.8,26,1,1,80,11,4.5,21,37,47,4,"few",60,"The Giant","Como dice el dicho","Drake and Josh","Stat100_L1"
"Male","Male",65,160,10.5,"Freshman",3,3.9,33,6,0,0,45,7.5,4,43,46,8,"few",10,"Interstellar","none","none","Stat100_L1"
"Female","Female",68,118,7.5,"Sophomore",3,3.9,28,0,1,105,9,7.5,25,54,53,8,"few",25,"La La Land","Friends","Parks and Recreation","Stat100_L1"
"Female","Female",61,173,9,"Sophomore",0.5,2.8,21,1,3,90,7,8,13,35,60,7,"one",0,"Get Out","Attack on Titan","Rick and Morty","Stat100_L1"
"Female","Female",66,125,8,"Sophomore",2.5,2.3,20,0,0,50,3,6,20,40,41,3,"dozens",50,"Hidden Figures","The Cosby Show","A Different World","Stat100_L1"
"Female","Female",67,120,6.5,"Sophomore",1,3.6,30,3,2,100,5,9.5,15,55,58,4,"hundreds",10,"Dodgeball","The Challenge","Grey's Anatomy","Stat100_L1"
"Male","Male",75,195,11.5,"Freshman",4,3.5,22,1,1,103,36,8,6,52,58,2,"one",40,"Forest Gump","NCIS","Family Guy","Stat100_L1"
"Female","Female",65,130,8.5,"Sophomore",7,3.7,26,1,2,70,25,9,10,52,52,2,"thousands",100,"Intersteller","one tree hill","the vampire diaries","Stat100_L1"
"Female","Female",61,115,7.5,"Sophomore",2,3.5,22,0,2,100,40,7,20,49,54,3,"one",50,"Wizard of Oz","Lost","Gossip Girl","Stat100_L1"
"Male","Male",71,140,10.5,"Freshman",1,3.7,33,4,2,102,55,6.5,6,50,53,1,"dozens",95,"Slumdog Millionaire","The Office","Diners, Drive-ins and Dives","Stat100_L1"
"Female","Female",69,175,12,"Freshman",3,3.8,25,4,2,130,7,7,9,54,58,5,"few",40,"Endless Love","One Tree Hill","Gossip Girl","Stat100_L1"
"Female","Female",67,150,8,"Freshman",3,4,29,7,3,105,15,8,17,50,51,6,"hundreds",99,"none","The Office","Rick and Morty","Stat100_L1"
"Female","Female",69,149,9.5,"Freshman",2.5,3.8,19,0,1,80,0,7,8,59,47,4,"few",100,"Baby Driver","That's So Raven","Grey's Anatomy","Stat100_L1"
"Female","Female",67,124,8.5,"Sophomore",7,3.7,22,7,0,92,70,8,15,49,50,4,"few",52,"Beauty and the beast","the gossip girl","the broke sister","Stat100_L1"
"Female","Female",60,115,6,"Sophomore",2,2.4,20,12,2,200,300,7,46,36,39,2,"one",60,"hachi","greys anatomy","pretty little liars","Stat100_L1"
"Female","Female",64,115,7.5,"Freshman",3,4,27,0,1,40,0,7,16,50,50,8,"few",80,"Spirited Away","none","none","Stat100_L1"
"Female","Female",61,120,6.5,"Sophomore",4,3.1,25,5,2,90,4,7,15,45,47,4,"one",21,"Star Wars","The Regular Show","Power","Stat100_L1"
"Female","Female",65,150,9.5,"Sophomore",2,3.5,26,3,1,95,50,9,25,51,60,7,"dozens",75,"unbroken","game of thrones","shameless","Stat100_L1"
"Female","Female",67,161,10,"Freshman",3.5,4,23,10,1,105,0,5.5,20,49,60,10,"few",100,"Ugh I can't choose, probably Braveheart. Or anything with Jennifer lopez or Ryan Reynolds.","One Tree Hill","Gilmore Girls","Stat100_L1"
"Female","Female",61,130,6.5,"Freshman",3,4,28,6,2,100,75,7,20,49,57,4,"one",90,"The Sandlot","The office","Once Upon a Time","Stat100_L1"
"Female","Female",66,115,9.5,"Freshman",1.5,4,24,10,1,105,200,7.5,5,49,52,5,"few",100,"Free Willy","Shameless","Friends","Stat100_L1"
"Male","Male",68,120,8.5,"Sophomore",2,2.8,25,0,1,100,12,8,4,54,52,9,"few",50,"The Dark Knight","Game of Thrones","It's Always Sunny in Philadelphia","Stat100_L1"
"Female","Female",64,150,8.5,"Freshman",4,3.7,29,2,2,90,14,6.5,32,55,60,7,"hundreds",50,"Harry Potter","Project Runway","Riverdale","Stat100_L1"
"Female","Female",69,120,7.5,"Freshman",2,4,25,1,2,90,0,5,20,50,51,5,"thousands",90,"none","Friends","That 70's Show","Stat100_L1"
"Male","Male",76,210,13,"Freshman",0.5,4,27,1,1,85,24,6.5,8,48,49,5,"one",100,"Lost in Translation","One Tree Hill","Mr. Robot","Stat100_L1"
"Female","Female",68,126,9.5,"Freshman",4,4,24,2,1,125,40,8.5,30,50,51,2,"one",50,"The Longest Ride","One Tree Hill","Friday Night Lights","Stat100_L1"
"Female","Female",63,120,8.5,"Sophomore",1,2.8,24,9,0,90,110,9,100,58,60,7,"one",10,"The Little Mermaid","The Vampire Diaires","Gilmore Girls","Stat100_L1"
"Male","Male",67,155,10,"Sophomore",2,3.3,33,1,1,95,30,7,15,51,49,4,"few",40,"Harry Potter","Friends","The Office","Stat100_L1"
