"gender","genderID","greek","homeTown","ethnicity","religion","religious","likeMath","calculus","ACT","GPA","partyHr","drinks","sexPartners","relationships","callParents","socialMedia","texts","goodOrWell","expectedIncome","president","DACA","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City Subrub","Black","Christian",8,6,"Yes",26,3.3,4,3,5,1,1,1,6,5,400,"Chose not to vote",0,1,"Democratic",5,10,20,0,4
"Male","Male","Yes","Medium City","White","Jewish",3,5,"Yes",32,3.2,10,20,1,1,3,1,5,0,100,"Not eligible to vote",0,4,"Democratic",5,7,0,30,5
"Female","Female","No","Big City","White","Atheist",0,3,"No",27,3.5,4,10,1,2,1,1,3,0,8,"Hillary Clinton",0,0,"Green",5,9,15,100,8
"Male","Male","Yes","Big City Subrub","White","Christian",3,1,"Yes",29,2.9,6,25,6,2,2,1,5,5,120,"Donald Trump",5,7,"Republican",0,10,10,50,0
"Female","Female","No","Big City","White","Atheist",0,0,"No",27,3.4,3,2,1,1,3,3,1,4,75,"Not eligible to vote",0,2,"Democratic",5,7,10,100,0
"Female","Female","No","Big City Subrub","Other","Atheist",2,5,"Yes",31,3.5,3,2,0,0,0,0,3,3,100,"Not eligible to vote",0,2,"Democratic",3,8,0,100,8
"Female","Female","Yes","Big City Subrub","White","Christian",7,6,"No",24,3.7,2,8,8,3,3,2,4,7,250,"Donald Trump",5,6,"Republican",6,6,0,0,8
"Female","Female","No","Medium City","Black","Christian",7,3,"Yes",23,4,6,3,0,0,13,1,4,6,400,"Not eligible to vote",0,3,"Democratic",5,6,10,100,9
"Male","Male","No","Medium City","South Asian","Christian",8,7,"Yes",21,2.8,1,0,0,0,3,2,4,6,100,"Hillary Clinton",0,3,"Democratic",5,8,0,90,7
"Female","Female","No","Big City Subrub","Hispanic","Christian",7,8,"Yes",26,2.3,6,5,4,1,1,5,7,8,85,"Chose not to vote",0,5,"Republican",6,6,15,20,6
"Male","Male","No","Big City","Other","Muslim",7,9,"Yes",28,3.9,10,18,0,0,7,3,30,3,10000,"Chose not to vote",0,5,"Independent",6,9,0,90,6
"Male","Male","No","Big City Subrub","Black","Religious but not one of the above",2,8,"Yes",31,3.2,4,10,0,0,0,1,2,5,200,"Hillary Clinton",1,3,"Democratic",5,7,20,20,4
