"gender","genderID","ethnicity","citizen","English","Exam1","Exam2","attraction","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexual_orientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","InnocentVsGuilty","sexVsLove","attendance","version"
"Female","Female","White","Yes","Yes",93,86,10,"Uncertain",4,4,5,"straight","Yes",7,"No","No","No",9,9,1,0,3,0,0,6,4,"Yes - I would",3,"Illegal most of the time","No","March","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",85,98,35,"Uncertain",8,4,6,"straight","Yes",6,"No","Yes","No",7,7,4,8,5,2,2,7,6,"Yes - I already have",2,"Always Legal","Yes","October","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Male","Male","Hispanic","Yes","Yes",77,39,5,"Yes",0,6,0,"straight","Yes",7,"No","No","No",6,6,1,4,4,0,1,9,9,"Yes - I would",0,"Always Legal","Yes","July","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Male","Male","Hispanic","Yes","Yes",42,66,60,"No",8,9,5,"straight","Yes",4,"No","No","No",10,5,0,5,5,3,1,4,2,"Yes - I already have",4,"Illegal most of the time","Yes","July","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","East Asian","No","No",92,96,5,"Uncertain",0,5,5,"straight","Yes",7,"No","No","Yes",3,5,8,1,1,2,3,1,7,"Yes - I already have",2,"Neutral","No","February","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Female","Female","South Asian","Yes","No",93,94,40,"Uncertain",6,4,7,"straight","Yes",2,"No","No","No",1,2,9,2,7,1,1,8,5,"Yes - I already have",3,"Legal most of the time","Yes","December","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","East Asian","No","No",97,98,30,"Yes",6,3,6,"straight","Yes",7,"No","No","No",3,4,7,5,5,2,4,6,7,"Yes - I already have",2,"Legal most of the time","Yes","September","Under","FOLD","Burger King","Mcdonalds","Guilty Free","No Love","wedding",1
"Female","Female","East Asian","Yes","Yes",69,90,30,"Uncertain",7,5,5,"straight","Yes",2,"No","No","No",7,4,5,5,5,4,0,6,8,"Yes - I already have",2,"Illegal most of the time","No","November","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","No","No",90,98,20,"No",0,5,2,"straight","Yes",12,"No","No","No",2,2,8,5,5,1,4,5,8,"Yes - I would",2,"Legal most of the time","Yes","October","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","East Asian","Yes","Yes",89,99,0,"No",2,3,3,"straight","Yes",2,"No","No","No",2,4,2,0,0,3,0,9,5,"Yes - I already have",4,"Always Legal","No","August","Under","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","East Asian","Yes","Yes",92,90,60,"Uncertain",4,5,5,"straight","Yes",13,"No","No","No",7,6,3,2,2,1,1,4,4,"Yes - I already have",3,"Legal most of the time","No","March","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","Other","Yes","Yes",78,82,5,"No",4,5,5,"straight","Yes",2,"No","No","No",10,10,0,6,6,1,1,5,10,"Yes - I already have",4,"Illegal most of the time","No","November","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","East Asian","Yes","Yes",98,94,5,"No",8,4,7,"straight","Yes",8,"No","No","No",0,0,10,3,3,0,0,0,10,"No",2,"Legal most of the time","No","August","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",88,81,15,"Uncertain",9,5,5,"straight","Yes",18,"No","No","No",7,7,3,0,0,0,0,5,10,"No",8,"Illegal most of the time","No","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","Yes","No",95,100,30,"No",0,0,6,"bi","Some do",11,"No","No","No",7,7,7,0,0,1,1,7,7,"Yes - I already have",2,"Always Legal","No","June","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Male","Male","White","Yes","Yes",93,98,15,"No",2,2,3,"straight","Yes",12,"No","No","No",3,3,8,0,0,1,1,3,7,"Yes - I already have",3,"Legal most of the time","No","July","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Yes",87,96,25,"No",0,0,1,"bi","No",19,"No","No","Yes",5,4,8,0,0,0,0,2,8,"Yes - I would",2,"Always Legal","Yes","March","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",78,76,5,"No",5,5,7,"straight","Yes",12,"No","No","No",4,5,8,1,1,7,1,6,8,"Yes - I already have",3,"Legal most of the time","Yes","May","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","No",90,96,30,"Yes",10,7,10,"straight","Yes",2,"No","No","No",9,9,0,3,3,1,1,1,9,"Yes - I already have",3,"Illegal most of the time","Yes","March","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",92,95,10,"No",1,0,5,"bi","No",16,"No","Yes","Yes",8,9,8,0,0,0,0,7,5,"Yes - I would",0,"Always Legal","Yes","January","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",95,96,15,"No",0,4,8,"straight","Yes",10,"No","No","Yes",8,8,2,0,0,1,2,5,10,"Yes - I already have",2,"Always Legal","Yes","January","No preference","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Black","Yes","Yes",85,77,45,"Uncertain",4,5,5,"straight","Yes",7,"No","No","No",7,7,0,0,0,6,2,7,10,"Yes - I already have",2,"Legal most of the time","No","December","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","East Asian","No","No",96,99,15,"Uncertain",6,4,6,"straight","Yes",10,"No","No","No",4,3,3,0,0,0,1,6,10,"Unsure",2,"Neutral","Yes","December","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","East Asian","Yes","No",91,95,80,"Uncertain",0,4,8,"straight","Yes",13,"No","No","No",4,4,8,0,0,2,2,7,7,"Yes - I would",2,"Always Legal","Yes","April","Under","WAD","Burger King","Burger King","Guilty Free","No Love","wedding",2
"Female","Female","Black","Yes","Yes",79,95,25,"No",7,0,2,"straight","Yes",5,"No","No","No",0,0,10,0,0,0,0,0,10,"No",3,"Always Legal","Yes","March","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","Hispanic","Yes","Yes",70,90,40,"No",7,3,1,"straight","Yes",6,"No","No","No",9,9,2,2,3,2,3,8,7,"Yes - I already have",4,"Always Legal","No","June","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","East Asian","No","Yes",91,100,30,"Yes",5,5,7,"straight","Yes",12,"No","No","Yes",5,3,8,0,0,2,1,7,5,"Yes - I already have",2,"Neutral","No","January","Over","FOLD","Burger King","Burger King","Innocent Executed","No Love","funeral",2
"Female","Female","White","Yes","Yes",92,94,5,"No",1,0,3,"bi","No",17,"No","No","Yes",4,4,8,0,0,0,0,7,3,"Yes - I would",0,"Always Legal","No","March","No preference","WAD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","East Asian","Yes","Yes",82,92,10,"Uncertain",7,2,7,"straight","Yes",5,"No","Yes","No",7,4,5,0,0,5,2,7,9,"Yes - I already have",2,"Legal most of the time","No","September","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",2
"Female","Female","Hispanic","Yes","No",82,94,70,"No",7,3,6,"straight","Yes",5,"No","No","No",5,5,2,0,0,0,1,3,0,"No",1,"Illegal most of the time","No","July","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",89,93,5,"No",3,0,0,"straight","Yes",13,"No","No","No",2,2,8,0,0,3,0,5,5,"Yes - I already have",2,"Always Legal","Yes","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
