"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2","section"
"Female","Female",70,160,10,"Freshman",2,4,28,6,1,90,100,8,30,51,49,3,"few",100,"Argo","Parks and Recreation","Gossip Girl","Stat100_L1"
"Female","Female",66,139,8.5,"Sophomore",2.5,2,19,0,3,100,36,6,10,41,42,6,"dozens",10,"White Chicks","Love & Hip Hop","Shameless","Stat100_L1"
"Male","Male",72,300,14,"Sophomore",2.5,2.9,20,2,2,90,40,4.5,4,52,47,7,"few",85,"Forrest Gump","Naruto","One piece","Stat100_L1"
"Male","Male",66,190,10,"Freshman",3,3,25,0,2,118,20,6.5,8,55,58,2,"few",50,"Goodfellas","Scrubs","The Office","Stat100_L1"
"Female","Female",63,120,7.5,"Sophomore",3,3.8,32,0,2,90,20,7,7,48,46,2,"few",100,"Baahubali","Law and Order","Stranger Things","Stat100_L1"
"Female","Female",62,180,6.5,"Sophomore",0,2.9,20,1,1,140,0,7,10,54,52,7,"one",100,"The Pursuit of Happyness","The Office","Spongebob","Stat100_L1"
"Female","Female",63,150,9,"Sophomore",2,3.2,27,0,1,55,25,5,5,47,54,10,"few",20,"The Theory of Everything","Psych","The Flash","Stat100_L1"
"Female","Female",66,124,8.5,"Freshman",2,3.6,31,3,3,110,30,9,13,51,52,6,"few",100,"Harry Potter","Friends","One Tree Hill","Stat100_L1"
"Female","Female",67,169,8.5,"Freshman",1,3.4,27,2,2,80,4,8,19,51,48,8,"few",50,"Friends with Benefits","One Tree Hill","Riverdale","Stat100_L1"
"Female","Female",64,112,7.5,"Freshman",0.5,3.6,26,7,1,60,80,7.5,20,53,58,6,"few",50,"Hercules","Family Guy","South Park","Stat100_L1"
"Female","Female",64,193,10,"Freshman",1.5,3.6,22,1,2,85,61,6,14,56,62,5,"few",25,"harry potter","stranger things","parks and rec","Stat100_L1"
"Female","Female",67,122,7.5,"Freshman",2,3.6,32,1,1,0,25,9,20,48,44,7,"few",60,"Eternal Sunshine of the Spotless Mind","Mad Men","Friends","Stat100_L1"
"Female","Female",63,127,7.5,"Freshman",3,3.2,26,4,3,100,150,6.5,11,57,52,2,"one",100,"Apocalypto","Spongebob","Criminal Minds","Stat100_L1"
"Female","Female",64,125,8.5,"Freshman",3,3.5,18,0,3,60,130,6,6,45,45,4,"one",100,"Dangal","Stranger Things","New Girl","Stat100_L1"
